Datum,Name
01.01.2026,Neujahr
06.01.2026,Heilige Drei Könige
03.04.2026,Karfreitag
05.04.2026,Ostersonntag
06.04.2026,Ostermontag
01.05.2026,Tag der Arbeit
14.05.2026,Christi Himmelfahrt
24.05.2026,Pfingstsonntag
25.05.2026,Pfingstmontag
04.06.2026,Fronleichnam
03.10.2026,Tag der Deutschen Einheit
01.11.2026,Allerheiligen
25.12.2026,1. Weihnachtstag
26.12.2026,2. Weihnachtstag
01.01.2027,Neujahr
06.01.2027,Heilige Drei Könige
26.03.2027,Karfreitag
28.03.2027,Ostersonntag
29.03.2027,Ostermontag
01.05.2027,Tag der Arbeit
06.05.2027,Christi Himmelfahrt
16.05.2027,Pfingstsonntag
17.05.2027,Pfingstmontag
27.05.2027,Fronleichnam
03.10.2027,Tag der Deutschen Einheit
01.11.2027,Allerheiligen
25.12.2027,1. Weihnachtstag
26.12.2027,2. Weihnachtstag
01.01.2028,Neujahr
06.01.2028,Heilige Drei Könige
14.04.2028,Karfreitag
16.04.2028,Ostersonntag
17.04.2028,Ostermontag
01.05.2028,Tag der Arbeit
25.05.2028,Christi Himmelfahrt
04.06.2028,Pfingstsonntag
05.06.2028,Pfingstmontag
15.06.2028,Fronleichnam
03.10.2028,Tag der Deutschen Einheit
01.11.2028,Allerheiligen
25.12.2028,1. Weihnachtstag
26.12.2028,2. Weihnachtstag
01.01.2029,Neujahr
06.01.2029,Heilige Drei Könige
30.03.2029,Karfreitag
01.04.2029,Ostersonntag
02.04.2029,Ostermontag
01.05.2029,Tag der Arbeit
10.05.2029,Christi Himmelfahrt
20.05.2029,Pfingstsonntag
21.05.2029,Pfingstmontag
31.05.2029,Fronleichnam
03.10.2029,Tag der Deutschen Einheit
01.11.2029,Allerheiligen
25.12.2029,1. Weihnachtstag
26.12.2029,2. Weihnachtstag
01.01.2030,Neujahr
06.01.2030,Heilige Drei Könige
19.04.2030,Karfreitag
21.04.2030,Ostersonntag
22.04.2030,Ostermontag
01.05.2030,Tag der Arbeit
30.05.2030,Christi Himmelfahrt
09.06.2030,Pfingstsonntag
10.06.2030,Pfingstmontag
20.06.2030,Fronleichnam
03.10.2030,Tag der Deutschen Einheit
01.11.2030,Allerheiligen
25.12.2030,1. Weihnachtstag
26.12.2030,2. Weihnachtstag
01.01.2031,Neujahr
06.01.2031,Heilige Drei Könige
11.04.2031,Karfreitag
13.04.2031,Ostersonntag
14.04.2031,Ostermontag
01.05.2031,Tag der Arbeit
22.05.2031,Christi Himmelfahrt
01.06.2031,Pfingstsonntag
02.06.2031,Pfingstmontag
12.06.2031,Fronleichnam
03.10.2031,Tag der Deutschen Einheit
01.11.2031,Allerheiligen
25.12.2031,1. Weihnachtstag
26.12.2031,2. Weihnachtstag
01.01.2032,Neujahr
06.01.2032,Heilige Drei Könige
26.03.2032,Karfreitag
28.03.2032,Ostersonntag
29.03.2032,Ostermontag
01.05.2032,Tag der Arbeit
06.05.2032,Christi Himmelfahrt
16.05.2032,Pfingstsonntag
17.05.2032,Pfingstmontag
27.05.2032,Fronleichnam
03.10.2032,Tag der Deutschen Einheit
01.11.2032,Allerheiligen
25.12.2032,1. Weihnachtstag
26.12.2032,2. Weihnachtstag
01.01.2033,Neujahr
06.01.2033,Heilige Drei Könige
15.04.2033,Karfreitag
17.04.2033,Ostersonntag
18.04.2033,Ostermontag
01.05.2033,Tag der Arbeit
26.05.2033,Christi Himmelfahrt
05.06.2033,Pfingstsonntag
06.06.2033,Pfingstmontag
16.06.2033,Fronleichnam
03.10.2033,Tag der Deutschen Einheit
01.11.2033,Allerheiligen
25.12.2033,1. Weihnachtstag
26.12.2033,2. Weihnachtstag
01.01.2034,Neujahr
06.01.2034,Heilige Drei Könige
07.04.2034,Karfreitag
09.04.2034,Ostersonntag
10.04.2034,Ostermontag
01.05.2034,Tag der Arbeit
18.05.2034,Christi Himmelfahrt
28.05.2034,Pfingstsonntag
29.05.2034,Pfingstmontag
08.06.2034,Fronleichnam
03.10.2034,Tag der Deutschen Einheit
01.11.2034,Allerheiligen
25.12.2034,1. Weihnachtstag
26.12.2034,2. Weihnachtstag
01.01.2035,Neujahr
06.01.2035,Heilige Drei Könige
23.03.2035,Karfreitag
25.03.2035,Ostersonntag
26.03.2035,Ostermontag
01.05.2035,Tag der Arbeit
03.05.2035,Christi Himmelfahrt
13.05.2035,Pfingstsonntag
14.05.2035,Pfingstmontag
24.05.2035,Fronleichnam
03.10.2035,Tag der Deutschen Einheit
01.11.2035,Allerheiligen
25.12.2035,1. Weihnachtstag
26.12.2035,2. Weihnachtstag
01.01.2036,Neujahr
06.01.2036,Heilige Drei Könige
11.04.2036,Karfreitag
13.04.2036,Ostersonntag
14.04.2036,Ostermontag
01.05.2036,Tag der Arbeit
22.05.2036,Christi Himmelfahrt
01.06.2036,Pfingstsonntag
02.06.2036,Pfingstmontag
12.06.2036,Fronleichnam
03.10.2036,Tag der Deutschen Einheit
01.11.2036,Allerheiligen
25.12.2036,1. Weihnachtstag
26.12.2036,2. Weihnachtstag
